01-NA-000087,GUARDIAN ANGEL SCHOOL,CRU,"P. Samson Road,","Deparo, Kalookan City",0,0,0
01-CB-000009,BATAAN MONTESSORI SCHOOL,CRU,"Maluya Cor A. Banzon St.,","Central, Balanga City, Bataan",0,0,0
01-CG-000037,DON BOSCO ACADEMY (E/HS),CRU,"Green Meadow Subd., Mabiga,","Mabalacat, Pampanga",SDB,0,0
01-NA-000091,HOLY ANGEL SCHOOL OF CALOOCAN,CRU," B-1 L-23-26 Hillcrest Village,","Camarin Rd., Kalookan City",0,0,0
01-CG-000009,ASSUMPTA TECHNICAL HIGH SCHOOL,CRU,"Sta. Monica,","San Simon, Pampanga",RA,0,0
01-NA-000202,OUR LORD'S ANGEL SCHOOL,CRU,"1117 Bagumbong Dulo St.,","Bagumbong, Kalookan City",0,0,0
01-NA-000097,HOLY INFANT MONTESSORI SCHOOL,CRU,"#4 Ninang Helen, Bf Homes, Ph. I & Ii","Novaliches, Kalookan City",0,0,0
01-CB-000085/01-CB-000086,T. DEL ROSARIO COLLEGE (E/HS),CRU,"Capitol Drive,","Balanga, Bataan",0,0,0
01-CA-000007,ANGELES SPED CENTER,CRU,"Jesus Street,","Pulong-Bulo, Angeles City",0,0,0
01-CB-000039/01-CB-000040,JOSE RIZAL INSTITUTE (E/HS),CRU,"San Vicente,","Orion, Bataan",0,0,0
01-CA-000012,BRIGHTWOOD SCHOOL,CRU,"Don Angeles St., Angeles City Center,","Pandan, Angeles City",0,0,0
01-CG-000098,MARY HELP OF CHRISTIAN SCHOOL,CRU,Mabiga,"Mabalacat, Pampanga",FMA - CHRISTIANS,0,0
01-CB-000077,ST. NICHOLAS CATHOLIC SCHOOL,CRU,Poblasyon,"Mariveles, Bataan",0,BATAAN,0
01-CG-000008,ASIAN MONTESSORI CENTER,CRU,"San Agustin, (Near Jonafer Mall)","San Fernando City, Pampanga",0,0,0
01-CB-000005,BATAAN CHRISTIAN SCHOOL - PILAR,CRU,"Pilar Shopping Arcade,","Pilar, Bataan",0,0,0
01-CG-000179,SURE VALUES LEARNING SCHOOL,CRU,"2Nd Floor Fiesta Market. Bldg.,","V. Tiomico St.,San Fernando, Pampanga",0,0,0
01-CI-000038,SAN ANDRES SCHOOL OF MASINLOC,CRU,"Olondriz St., Poblacion,","Masinloc, Zambales",0,IBA,0
01-CB-000016,BLESSED REGINA PROTMANN,CRU,"Mt. View,","Mariveles, Bataan",0,BATAAN,0
01-CB-000076,ST. MICHAEL THE ARCHANGEL ACADEMY,CRU,(Formerly Holy Child Cath. Sch.),"Orion, Bataan",0,BATAAN,0
01-NA-000279,SYSTEM PLUS COMPUTER COLL.-E/H,CRU,"141-143 10Th Ave.,","6 & 7 St., Kalookan City",0,0,0
01-CI-000049,STA. CRUZ ACADEMY (HS),CRU,Sta Cruz,Zambales,0,IBA,0
01-NA-000248,ST. ANTHONY NOVA SCHOOL (E/HS),CRU,Amparo Subdivision,"Novaliches, Kaloocan City",0,0,0
01-CG-000158,ST. MARY'S ANGEL SCHOOL OF PAMPANGA,CRU,"San Pedro, Mexico Boundary &","Sta. Ana, Pampanga",0,0,0
01-CB-000034/01-CB-000033,HOLY ROSARY PAROCHIAL INST.(E/H),CRU,Oblsyon,"Orani, Bataan",0,BATAAN,0
01-CI-000055,SUBIC MONTESSORI SCHOOL,CRU,"Bldg. 737 Labitan St., Central Business","District, Subic Bay Freeport, Zambales",0,0,0
01-CB-000052,MOTHER MARGHERITA DE BRINCAT CATH. SCH.,CRU,"Kamias Rd., Brgy. Tucop,","Dinalupihan, Bataan",FRANCISCAN SISTERS OF HEART OF JESUS,0,0
01-CB-000048,LLAMAS MEMORIAL INSTITUTE (HS),CRU,"Lacandula St.,","Mariveles, Bataan",0,0,0
