01-AC-000060,TAGUDIN ADVENTIST MULTIGRADE SCHOOL,,AGC,,"Tagudin, Ilocos Sur",SDA NL, ,
01-AC-000065,UCCP KINDERGARTEN LRNG. CTR.-SINAIT,,AGC,,"Sinait, Ilocos Sur", , ,
01-AC-000067,UNITED METHODIST SCHOOL-CANDON,,AGC,,"Candon, Ilocos Sur", , ,
01-AD-000001,AGOO ACADEMY (HS),,AGC,,"Agoo, La Union", , ,
01-AD-000029,ROSARIO CENTRAL SCHOOL,,AGC,,"Rosario, La Union", , ,
01-AD-000034,SAYTAN ELEMENTARY SCHOOL,,AGC,,"Pugo, La Union", , ,
01-OA-000037,ST. JOSEPH'S SEMINARY (HS),,AGC,,"Bangued, Abra", , ,
01-OC-000016,BRIDGES TUTORIAL'S LEARNING CENTER,,AGC,,"#81 Laurel St., Baguio City", , ,
01-OC-000069,VALLEY KIDDIE LANGUAGE CENTER,,AGC,,Baguio City, , ,
01-OD-000029,VALLEY KIDDIE LEARNING CENTER,,AGC,,"La Trinidad, Benguet", , ,
01-CG-000037,DON BOSCO ACADEMY (E/HS),,CRU,"Green Meadow Subd., Mabiga,","Mabalacat, Pampanga",SDB,,
01-NA-000182,MYSTICAL ROSE SCHOOL OF KALOOKAN,,CRU,"Metrocom Homes, Almar Subd.,","Camarin, Kalookan City", , ,
01-CB-000085/01-CB-000086,T. DEL ROSARIO COLLEGE (E/HS),,CRU,"Capitol Drive,","Balanga, Bataan", , ,
01-NA-000087,GUARDIAN ANGEL SCHOOL,,CRU,"P. Samson Road,","Deparo, Kalookan City", , ,
01-NA-000091,HOLY ANGEL SCHOOL OF CALOOCAN,,CRU," B-1 L-23-26 Hillcrest Village,","Camarin Rd., Kalookan City", , ,
01-CB-000009,BATAAN MONTESSORI SCHOOL,,CRU,"Maluya cor A. Banzon St.,","Central, Balanga City, Bataan", , ,
01-NA-000097,HOLY INFANT MONTESSORI SCHOOL,,CRU,"#4 Ninang Helen, BF Homes, Ph. I & II","Novaliches, Kalookan City", , ,
01-CG-000009,ASSUMPTA TECHNICAL HIGH SCHOOL,,CRU,"Sta. Monica,","San Simon, Pampanga",RA,,
01-CB-000039/01-CB-000040,JOSE RIZAL INSTITUTE (E/HS),,CRU,"San Vicente,","Orion, Bataan", , ,
01-CA-000007,ANGELES SPED CENTER,,CRU,"Jesus Street,","Pulong-Bulo, Angeles City", , ,
01-CG-000098,MARY HELP OF CHRISTIAN SCHOOL,,CRU,Mabiga,"Mabalacat, Pampanga",FMA - Christians, ,
01-NA-000202,OUR LORD'S ANGEL SCHOOL,,CRU,"1117 Bagumbong Dulo St.,","Bagumbong, Kalookan City", , ,
01-CA-000012,BRIGHTWOOD SCHOOL,,CRU,"Don Angeles St., Angeles City Center,","Pandan, Angeles City", , ,
01-CB-000005,BATAAN CHRISTIAN SCHOOL - PILAR,,CRU,"Pilar Shopping Arcade,","Pilar, Bataan", , ,
01-CG-000080,JOSE FELICIANO COLLEGE,,CRU,"Dau,","Mabalacat, Pampanga", , ,
01-CG-000008,ASIAN MONTESSORI CENTER,,CRU,"San Agustin, (near Jonafer Mall)","San Fernando City, Pampanga", , ,
01-CB-000077,ST. NICHOLAS CATHOLIC SCHOOL,,CRU,Poblasyon,"Mariveles, Bataan", ,BATAAN,
01-CG-000179,SURE VALUES LEARNING SCHOOL,,CRU,"2nd Floor Fiesta Market. Bldg.,","V. Tiomico St.,San Fernando, Pampanga", , ,
01-CG-000158,ST. MARY'S ANGEL SCHOOL OF PAMPANGA,,CRU,"San Pedro, Mexico Boundary &","Sta. Ana, Pampanga", , ,
01-CI-000038,SAN ANDRES SCHOOL OF MASINLOC,,CRU,"Olondriz St., Poblacion,","Masinloc, Zambales", ,IBA,
01-CI-000049,STA. CRUZ ACADEMY (HS),,CRU,sta cruz,Zambales, ,IBA,
01-CB-000052,MOTHER MARGHERITA DE BRINCAT CATH. SCH.,,CRU,"Kamias Rd., Brgy. Tucop,","Dinalupihan, Bataan",Franciscan sisters of Heart of Jesus, ,
01-CB-000048,LLAMAS MEMORIAL INSTITUTE (HS),,CRU,"Lacandula St.,","Mariveles, Bataan", , ,
01-NA-000279,SYSTEM PLUS COMPUTER COLL.-E/H,,CRU,"141-143 10th Ave.,","6 & 7 St., Kalookan City", , ,
01-CB-000016,BLESSED REGINA PROTMANN,,CRU,"Mt. View,","Mariveles, Bataan", ,BATAAN,
01-CI-000040,ST. ANTHONY ACADEMY,,CRU,"Matain,","Subic, Zambales", ,IBA,
01-CG-000143,ST. ANDREW COLLEGE (E/HS),,CRU,,"Candaba, Pampanga", ,PAMPANGA,
